query,mean_atf,mean_delta_unconstrained,mean_j_eta,mean_ridi_unconstrained,mean_ridi_controlled,mean_utility_regret,n_nonzero_cells
UMLS:C0207682,0.8537808641975309,20.0,2.1666666666666665,0.09816378678292399,0.019899064400853563,0.0007771066010120552,6
UMLS:C0207932,0.9522381204734146,17.666666666666668,1.1666666666666667,0.07842862065955818,0.0029930169571126936,0.0006357323365989183,6
UMLS:C0208078,0.852980352980353,19.666666666666668,2.1666666666666665,0.07454370340016787,0.011249401074807796,0.0004534518474661484,6
UMLS:C0213314,0.9323147612621296,17.833333333333332,1.8333333333333333,0.0647143007499202,0.004648741008801194,0.0005076796405138952,6
UMLS:C0215136,0.768070652173913,22.166666666666668,7.0,0.09368076269905311,0.020004158103645295,0.0008505346457131567,6
UMLS:C0218003,0.9531906915583498,20.0,1.5,0.06903035321566213,0.003654382776735087,0.000725098060096651,6
UMLS:C0220841,0.8793650793650793,16.666666666666668,2.6666666666666665,0.07241724720637306,0.007619970257122311,0.0004965710060142115,6
UMLS:C0242893,0.9055555555555556,16.0,2.1666666666666665,0.07117221751368093,0.005310106828423588,0.0007271684067493215,6
UMLS:C0246012,0.7821067821067821,24.333333333333332,5.0,0.10526893848104539,0.02430677869343131,0.0007559427017846468,6
UMLS:C0256956,0.8129310344827587,21.333333333333332,3.3333333333333335,0.0795241564495225,0.014552291538426222,0.000835596087291372,6
UMLS:C0258114,0.980952380952381,16.0,0.5,0.0674629671334221,0.001330671989354624,0.0006109528182344286,6
UMLS:C0282564,0.8509920634920635,17.5,3.6666666666666665,0.07367283511509497,0.009596190400145222,0.0007059807870584455,6
UMLS:C0289754,0.9380787037037037,16.666666666666668,1.5,0.06069286515675954,0.0036557022107753553,0.0005687655325156517,6
UMLS:C0302232,0.936017706302794,19.166666666666668,1.8333333333333333,0.07825787314370543,0.004317068030397748,0.0004462715312526417,6
UMLS:C0302950,0.6983605953433539,25.666666666666668,6.5,0.0942752626752938,0.02952348763359741,0.0007406795329088479,6
UMLS:C0304069,0.6439176245210728,32.5,14.833333333333334,0.10898767886057238,0.041278198822965684,0.0008725859446640311,6
UMLS:C0352536,0.9580723058649028,19.333333333333332,1.1666666666666667,0.0791596564289322,0.0029916935706949302,0.0009215519295368663,6
UMLS:C0358490,0.7608715060327964,23.5,4.5,0.10209409310284694,0.02810264107515739,0.000861248062813282,6
UMLS:C0360542,0.7470538720538721,28.166666666666668,7.0,0.1289453916451034,0.03522775240799724,0.0008629763004351761,6
UMLS:C0368612,0.9018861809696656,15.666666666666666,2.1666666666666665,0.0575184101868911,0.006301173362573812,0.00038197457978133236,6
UMLS:C0370214,0.7446000943732015,35.666666666666664,11.333333333333334,0.12252362370652037,0.033630692434269506,0.000673283123009618,6
UMLS:C0376211,0.8991792929292929,25.666666666666668,4.333333333333333,0.0865108945447352,0.010230187550209487,0.0006373231920808428,6
UMLS:C0384965,0.8930799220272906,16.5,0.6666666666666666,0.06689203490443413,0.007931332055361225,0.0004625095221414965,6
UMLS:C0392143,0.8961940836940837,16.5,1.5,0.0815947873066195,0.00926001400684543,0.0009145346750915155,6
UMLS:C0443442,0.600288160349136,29.0,9.833333333333334,0.12530438953079184,0.05497059546323727,0.0006425504879791004,6
UMLS:C0525921,0.9161089661089661,23.333333333333332,2.6666666666666665,0.0955145989346131,0.007289616712759133,0.000647897996464182,6
UMLS:C0543473,0.6501941839537747,14.666666666666666,5.5,0.06826236499626168,0.023362747813896106,0.0005889506377033585,6
UMLS:C0546875,0.5896990740740741,25.0,9.833333333333334,0.10515909723544516,0.045191521104323194,0.0006939120733960996,6
UMLS:C0581779,0.9139874657265962,22.666666666666668,3.0,0.0808868547205897,0.007289616712759133,0.00047476513796559217,6
UMLS:C0591048,0.9888278388278389,18.166666666666668,0.3333333333333333,0.08031073165941041,0.000666000666000666,0.0005124530612449123,6
UMLS:C0591132,0.7448629355956943,28.166666666666668,7.833333333333333,0.11551862024921063,0.029859489510803843,0.0008522856200915591,6
